customer_id,gender,is_female,is_senior_citizen,partner,dependents,partner_dependents,has_phone,phone_service,phone_service_type,has_internet,internet_service,internet_service_type,has_phone_and_internet,service_type,contract_type,contract_type,payment_type,monthly_charges,Avg_monthly_charge,total_charges,Tenure_Mo,Tenure_Days,start_date,churn,has_churned,,
0328-GRPMV,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70.1,70.1,70.1,1,30,20210710,Yes,TRUE,,
0375-HVGXO,Female,TRUE,0,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,34.7,34.7,34.7,1,30,20210710,Yes,TRUE,,
0390-DCFDQ,Female,TRUE,1,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.45,70.5,70.45,1,30,20210710,Yes,TRUE,,
0415-MOSGF,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,44.4,44.4,44.4,1,30,20210710,Yes,TRUE,,
0426-TIRNE,Female,TRUE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.9,20.9,20.9,1,30,20210710,Yes,TRUE,,
0488-GSLFR,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,69.5,69.5,69.5,1,30,20210710,Yes,TRUE,,
0495-RVCBF,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,79.7,79.7,79.7,1,30,20210710,Yes,TRUE,,
0511-JTEOY,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,71.1,71.1,71.1,1,30,20210710,Yes,TRUE,,
0515-YPMCW,Male,FALSE,0,No,Yes,2,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.45,70.5,70.45,1,30,20210710,Yes,TRUE,,
0519-XUZJU,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.75,70.8,70.75,1,30,20210710,Yes,TRUE,,
0612-RTZZA,Female,TRUE,1,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,25.25,25.3,25.25,1,30,20210710,Yes,TRUE,,
0616-ATFGB,Male,FALSE,1,Yes,No,1,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,25.05,25.1,25.05,1,30,20210710,Yes,TRUE,,
0661-XEYAN,Female,TRUE,1,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Mailed check,25.8,25.8,25.8,1,30,20210710,Yes,TRUE,,
0679-IDSTG,Female,TRUE,1,Yes,Yes,3,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,69.25,69.3,69.25,1,30,20210710,Yes,TRUE,,
0684-AOSIH,Male,FALSE,0,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,95,95,95,1,30,20210710,Yes,TRUE,,
0723-DRCLG,Female,TRUE,1,Yes,No,1,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,74.45,74.5,74.45,1,30,20210710,Yes,TRUE,,
0742-NXBGR,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,82.3,82.3,82.3,1,30,20210710,Yes,TRUE,,
0761-AETCS,Female,TRUE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Electronic check,19.3,19.3,19.3,1,30,20210710,Yes,TRUE,,
0812-WUPTB,Male,FALSE,1,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.85,70.9,70.85,1,30,20210710,Yes,TRUE,,
0841-NULXI,Male,FALSE,0,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,35.55,35.6,35.55,1,30,20210710,Yes,TRUE,,
0887-HJGAR,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,45.7,45.7,45.7,1,30,20210710,Yes,TRUE,,
0968-GSIKN,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.8,70.8,70.8,1,30,20210710,Yes,TRUE,,
0970-ETWGE,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,89.55,89.6,89.55,1,30,20210710,Yes,TRUE,,
1000-AJSLD,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.1,20.1,20.1,1,30,20210710,Yes,TRUE,,
1024-GUALD,Female,TRUE,0,Yes,No,1,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,24.8,24.8,24.8,1,30,20210710,Yes,TRUE,,
1029-QFBEN,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,19.55,19.6,19.55,1,30,20210710,Yes,TRUE,,
1031-IIDEO,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70.85,70.9,70.85,1,30,20210710,Yes,TRUE,,
1062-LHZOD,Male,FALSE,0,Yes,Yes,3,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,69.9,69.9,69.9,1,30,20210710,Yes,TRUE,,
1066-JKSGK,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.15,20.2,20.15,1,30,20210710,Yes,TRUE,,
1069-XAIEM,Female,TRUE,1,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,85.05,85.1,85.05,1,30,20210710,Yes,TRUE,,
1084-UQCHV,Male,FALSE,0,No,Yes,2,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Bank transfer (automatic),69.75,69.8,69.75,1,30,20210710,Yes,TRUE,,
1086-LXKFY,Female,TRUE,0,Yes,Yes,3,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,69.1,69.1,69.1,1,30,20210710,Yes,TRUE,,
1122-JWTJW,Male,FALSE,0,Yes,Yes,3,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.65,70.7,70.65,1,30,20210710,Yes,TRUE,,
1157-BQCUW,Male,FALSE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,74.95,75,74.95,1,30,20210710,Yes,TRUE,,
1240-KNSEZ,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.1,20.1,20.1,1,30,20210710,Yes,TRUE,,
1285-OKIPP,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,79.9,79.9,79.9,1,30,20210710,Yes,TRUE,,
1334-FJSVR,Male,FALSE,0,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,24.25,24.3,24.25,1,30,20210710,Yes,TRUE,,
1349-WXNGG,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Bank transfer (automatic),20.05,20.1,20.05,1,30,20210710,Yes,TRUE,,
1363-TXLSL,Male,FALSE,1,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70.3,70.3,70.3,1,30,20210710,Yes,TRUE,,
1415-YFWLT,Female,TRUE,1,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,89.3,89.3,89.3,1,30,20210710,Yes,TRUE,,
1447-GIQMR,Male,FALSE,0,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,69.15,69.2,69.15,1,30,20210710,Yes,TRUE,,
1448-PWKYE,Male,FALSE,0,Yes,Yes,3,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,80,80,80,1,30,20210710,Yes,TRUE,,
1455-ESIQH,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,89.1,89.1,89.1,1,30,20210710,Yes,TRUE,,
1493-AMTIE,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Bank transfer (automatic),20.2,20.2,20.2,1,30,20210710,Yes,TRUE,,
1496-GGSUK,Female,TRUE,1,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Mailed check,25.7,25.7,25.7,1,30,20210710,Yes,TRUE,,
1541-ETJZO,Male,FALSE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,62.05,62.1,62.05,1,30,20210710,Yes,TRUE,,
1582-RAFML,Male,FALSE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,60.1,60.1,60.1,1,30,20210710,Yes,TRUE,,
1612-EOHDH,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,45.15,45.2,45.15,1,30,20210710,Yes,TRUE,,
1660-HSOOQ,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,49.65,49.7,49.65,1,30,20210710,Yes,TRUE,,
1725-MIMXW,Male,FALSE,0,No,Yes,2,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,19.45,19.5,19.45,1,30,20210710,Yes,TRUE,,
1740-CSDJP,Male,FALSE,0,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Bank transfer (automatic),35.25,35.3,35.25,1,30,20210710,Yes,TRUE,,
1761-AEZZR,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,79.55,79.6,79.55,1,30,20210710,Yes,TRUE,,
1768-ZAIFU,Female,TRUE,1,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,25.2,25.2,25.2,1,30,20210710,Yes,TRUE,,
1794-HBQTJ,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Credit card (automatic),48.6,48.6,48.6,1,30,20210710,Yes,TRUE,,
1820-TQVEV,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,69.55,69.6,69.55,1,30,20210710,Yes,TRUE,,
1833-VGRUM,Female,TRUE,1,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,74.2,74.2,74.2,1,30,20210710,Yes,TRUE,,
1846-XWOQN,Female,TRUE,1,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70.15,70.2,70.15,1,30,20210710,Yes,TRUE,,
1853-UDXBW,Male,FALSE,0,Yes,Yes,3,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70,70,70,1,30,20210710,Yes,TRUE,,
1915-IOFGU,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70.5,70.5,70.5,1,30,20210710,Yes,TRUE,,
1934-SJVJK,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.15,20.2,20.15,1,30,20210710,Yes,TRUE,,
1963-SVUCV,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,45.3,45.3,45.3,1,30,20210710,Yes,TRUE,,
1963-VAUKV,Female,TRUE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.4,20.4,20.4,1,30,20210710,Yes,TRUE,,
1976-CFOCS,Female,TRUE,1,Yes,No,1,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,46,46,46,1,30,20210710,Yes,TRUE,,
1977-STDKI,Female,TRUE,1,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,73,73,73,1,30,20210710,Yes,TRUE,,
2002-MZHWP,Female,TRUE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.5,20.5,20.5,1,30,20210710,Yes,TRUE,,
2004-OCQXK,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,81.95,82,81.95,1,30,20210710,Yes,TRUE,,
2013-SGDXK,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,84.3,84.3,84.3,1,30,20210710,Yes,TRUE,,
2024-BASKD,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,74.6,74.6,74.6,1,30,20210710,Yes,TRUE,,
2082-CEFLT,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,45.6,45.6,45.6,1,30,20210710,Yes,TRUE,,
2135-RXIHG,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,45.65,45.7,45.65,1,30,20210710,Yes,TRUE,,
2202-CUYXZ,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,84.85,84.9,84.85,1,30,20210710,Yes,TRUE,,
2207-NHRJK,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,50.8,50.8,50.8,1,30,20210710,Yes,TRUE,,
2232-DMLXU,Female,TRUE,0,Yes,No,1,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,55.2,55.2,55.2,1,30,20210710,Yes,TRUE,,
2320-JRSDE,Female,TRUE,0,Yes,Yes,3,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Electronic check,19.9,19.9,19.9,1,30,20210710,Yes,TRUE,,
2386-LAHRK,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,53.5,53.5,53.5,1,30,20210710,Yes,TRUE,,
2446-PLQVO,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70.3,70.3,70.3,1,30,20210710,Yes,TRUE,,
2506-TNFCO,Female,TRUE,1,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,69.55,69.6,69.55,1,30,20210710,Yes,TRUE,,
2514-GINMM,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,79.5,79.5,79.5,1,30,20210710,Yes,TRUE,,
2565-JSLRY,Male,FALSE,0,No,No,0,TRUE,2,Two or More Lines,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,24.05,24.1,24.05,1,30,20210710,Yes,TRUE,,
2609-IAICY,Female,TRUE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,77.15,77.2,77.15,1,30,20210710,Yes,TRUE,,
2619-WFQWU,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.15,70.2,70.15,1,30,20210710,Yes,TRUE,,
2636-ALXXZ,Female,TRUE,1,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,69.6,69.6,69.6,1,30,20210710,Yes,TRUE,,
2672-DZUOY,Male,FALSE,0,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,25.15,25.2,25.15,1,30,20210710,Yes,TRUE,,
2722-JMONI,Female,TRUE,1,Yes,No,1,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,49.55,49.6,49.55,1,30,20210710,Yes,TRUE,,
2725-KXXWT,Male,FALSE,0,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,90.75,90.8,90.75,1,30,20210710,Yes,TRUE,,
2777-PHDEI,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,78.05,78.1,78.05,1,30,20210710,Yes,TRUE,,
2833-SLKDQ,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,45.05,45.1,45.05,1,30,20210710,Yes,TRUE,,
2856-HYAPG,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,68.65,68.7,68.65,1,30,20210710,Yes,TRUE,,
2867-UIMSS,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,80.5,80.5,80.5,1,30,20210710,Yes,TRUE,,
2868-MZAGQ,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,79.25,79.3,79.25,1,30,20210710,Yes,TRUE,,
2876-VBBBL,Female,TRUE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.25,20.3,20.25,1,30,20210710,Yes,TRUE,,
2933-FILNV,Female,TRUE,0,Yes,Yes,3,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Mailed check,24.4,36.6,36.55,1,46,20210625,Yes,TRUE,,
2947-DOMLJ,Male,FALSE,0,No,Yes,2,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,50.6,50.6,50.6,1,30,20210710,Yes,TRUE,,
2955-PSXOE,Female,TRUE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Bank transfer (automatic),20.2,20.2,20.2,1,30,20210710,Yes,TRUE,,
2982-IHMFT,Female,TRUE,1,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,74.45,74.5,74.45,1,30,20210710,Yes,TRUE,,
3027-ZTDHO,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,89.9,89.9,89.9,1,30,20210710,Yes,TRUE,,
3049-NDXFL,Female,TRUE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,85.8,85.8,85.8,1,30,20210710,Yes,TRUE,,
3063-QFSZL,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,55.4,55.4,55.4,1,30,20210710,Yes,TRUE,,
3066-RRJIO,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,69.95,70,69.95,1,30,20210710,Yes,TRUE,,
3068-OMWZA,Male,FALSE,1,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,88.8,88.8,88.8,1,30,20210710,Yes,TRUE,,
3085-QUOZK,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,43.95,44,43.95,1,30,20210710,Yes,TRUE,,
3091-FYHKI,Male,FALSE,0,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,35.45,35.5,35.45,1,30,20210710,Yes,TRUE,,
3148-BLQJT,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Mailed check,20.1,20.1,20.1,1,30,20210710,Yes,TRUE,,
3165-HDOEW,Male,FALSE,0,Yes,Yes,3,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,45.85,45.9,45.85,1,30,20210710,Yes,TRUE,,
3177-LASXD,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,71.35,71.4,71.35,1,30,20210710,Yes,TRUE,,
3178-FESZO,Female,TRUE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Credit card (automatic),100.25,100.3,100.25,1,30,20210710,Yes,TRUE,,
3186-BAXNB,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,91.7,91.7,91.7,1,30,20210710,Yes,TRUE,,
3244-DCJWY,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,70.25,70.3,70.25,1,30,20210710,Yes,TRUE,,
3276-HDUEG,Female,TRUE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,75.05,75.1,75.05,1,30,20210710,Yes,TRUE,,
3296-SILRA,Female,TRUE,1,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,76.4,76.4,76.4,1,30,20210710,Yes,TRUE,,
3334-CTHOL,Female,TRUE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Bank transfer (automatic),49.95,50,49.95,1,30,20210710,Yes,TRUE,,
3422-LYEPQ,Male,FALSE,0,Yes,Yes,3,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,71,71,71,1,30,20210710,Yes,TRUE,,
